year,game,strategy,n,share
2025,BARG,A,44,0.2
2025,BARG,E,176,0.8
2025,COMP,L,57,0.2590909090909091
2025,COMP,T,163,0.740909090909091
2025,DEF,R,48,0.21818181818181817
2025,DEF,S,172,0.7818181818181819
2025,DISC,C,65,0.29545454545454547
2025,DISC,Q,155,0.7045454545454546
2025,GOV,I,62,0.2818181818181818
2025,GOV,S,158,0.7181818181818181
2025,SHIFT,H,154,0.7
2025,SHIFT,I,66,0.3
2025,SIGNAL,C,41,0.18636363636363637
2025,SIGNAL,H,179,0.8136363636363636
2026,BARG,A,62,0.2818181818181818
2026,BARG,E,158,0.7181818181818181
2026,COMP,L,41,0.18636363636363637
2026,COMP,T,179,0.8136363636363636
2026,DEF,R,64,0.2909090909090909
2026,DEF,S,156,0.7090909090909091
2026,DISC,C,77,0.35
2026,DISC,Q,143,0.65
2026,GOV,I,66,0.3
2026,GOV,S,154,0.7
2026,SHIFT,H,147,0.6681818181818182
2026,SHIFT,I,73,0.33181818181818185
2026,SIGNAL,C,29,0.1318181818181818
2026,SIGNAL,H,191,0.8681818181818182
2027,BARG,A,61,0.2772727272727273
2027,BARG,E,159,0.7227272727272728
2027,COMP,L,41,0.18636363636363637
2027,COMP,T,179,0.8136363636363636
2027,DEF,R,65,0.29545454545454547
2027,DEF,S,155,0.7045454545454546
2027,DISC,C,86,0.39090909090909093
2027,DISC,Q,134,0.6090909090909091
2027,GOV,I,80,0.36363636363636365
2027,GOV,S,140,0.6363636363636364
2027,SHIFT,H,144,0.6545454545454545
2027,SHIFT,I,76,0.34545454545454546
2027,SIGNAL,C,36,0.16363636363636364
2027,SIGNAL,H,184,0.8363636363636363
2028,BARG,A,62,0.2818181818181818
2028,BARG,E,158,0.7181818181818181
2028,COMP,L,42,0.19090909090909092
2028,COMP,T,178,0.8090909090909091
2028,DEF,R,77,0.35
2028,DEF,S,143,0.65
2028,DISC,C,82,0.37272727272727274
2028,DISC,Q,138,0.6272727272727273
2028,GOV,I,73,0.33181818181818185
2028,GOV,S,147,0.6681818181818182
2028,SHIFT,H,140,0.6363636363636364
2028,SHIFT,I,80,0.36363636363636365
2028,SIGNAL,C,34,0.15454545454545454
2028,SIGNAL,H,186,0.8454545454545455
2029,BARG,A,52,0.23636363636363636
2029,BARG,E,168,0.7636363636363637
2029,COMP,L,42,0.19090909090909092
2029,COMP,T,178,0.8090909090909091
2029,DEF,R,70,0.3181818181818182
2029,DEF,S,150,0.6818181818181818
2029,DISC,C,86,0.39090909090909093
2029,DISC,Q,134,0.6090909090909091
2029,GOV,I,59,0.2681818181818182
2029,GOV,S,161,0.7318181818181818
2029,SHIFT,H,152,0.6909090909090909
2029,SHIFT,I,68,0.3090909090909091
2029,SIGNAL,C,37,0.16818181818181818
2029,SIGNAL,H,183,0.8318181818181818
