year,month,pressure_mean,pressure_std,pressure_p10,pressure_p90,pressure_sem,occupancy_mean,occupancy_std,occupancy_p10,occupancy_p90,occupancy_sem,within4_mean,within4_std,within4_p10,within4_p90,within4_sem,offload_min_mean,offload_min_std,offload_min_p10,offload_min_p90,offload_min_sem,discharge_delay_mean,discharge_delay_std,discharge_delay_p10,discharge_delay_p90,discharge_delay_sem,effective_cth_share_mean,effective_cth_share_std,effective_cth_share_p10,effective_cth_share_p90,effective_cth_share_sem,efficiency_gap_mean,efficiency_gap_std,efficiency_gap_p10,efficiency_gap_p90,efficiency_gap_sem,workforce_pool_mean,workforce_pool_std,workforce_pool_p10,workforce_pool_p90,workforce_pool_sem,cth_nominal_mean,cth_effective_mean,rr_mean,rr_p10,rr_p90,effgap_mean,offload_mean,discharge_mean,workforce_mean,polcap_mean,polcap_std,polcap_sem,equity_mean,equity_std,equity_sem,prob_ed_mean,agreement_clock_mean,system_mode
2025,7.0,1.5117864744758442,0.003950283578713498,1.5071514295136836,1.516853763929882,0.00024983787024591384,0.9390239615618351,0.0007900567157431191,0.9380969525694034,0.9400374194526432,4.99675740492093e-05,0.5902003797584267,0.0006800163694352659,0.5893361448142719,0.5910245527453697,4.300801147227898e-05,18.0,0.0,18.0,18.0,0.0,1.0351209747423533,0.00019495162092854275,1.0348825394482033,1.0353631798728058,1.2329823113518903e-05,0.3799999999999992,7.216449660063518e-16,0.37999999999999995,0.37999999999999995,4.5640835091497115e-17,0.10000000000000032,3.3306690738754696e-16,0.1,0.1,2.1065000811460208e-17,0.9269942692240295,0.00016803407048354875,0.9267795301416976,0.927194746512315,1.0627407744745701e-05,0.3799999999999992,0.3799999999999992,1.5117864744758442,1.5071514295136836,1.516853763929882,0.10000000000000032,18.0,1.0351209747423533,0.9269942692240295,1.0,0.0,0.0,1.0,0.0,0.0,0.9880150524063747,5.0,crisis
2026,6.5,1.716666666666657,9.547918011776346e-15,1.7166666666666666,1.7166666666666666,6.038633565951927e-16,0.9799999999999957,4.218847493575595e-15,0.98,0.98,2.668233436118293e-16,0.5621643587048643,1.1102230246251565e-16,0.5621643587048644,0.5621643587048644,7.021666937153402e-18,18.0,0.0,18.0,18.0,0.0,1.4287691583310556,0.0005057797617326817,1.4281650447584342,1.429425293369892,3.1988320829850906e-05,0.3799999999999993,7.216449660063518e-16,0.38000000000000006,0.38000000000000006,4.564083509149712e-17,0.10000000000000035,3.3306690738754696e-16,0.10000000000000002,0.10000000000000002,2.1065000811460208e-17,0.7550484558472785,0.00035786414726534445,0.7545778614880775,0.7554766978603825,2.2633315965448116e-05,0.3799999999999993,0.3799999999999993,1.716666666666657,1.7166666666666666,1.7166666666666666,0.10000000000000035,18.0,1.4287691583310556,0.7550484558472785,1.0,0.0,0.0,1.0,0.0,0.0,0.9880150524063745,4.0,crisis
2027,6.5,1.716666666666657,9.547918011776346e-15,1.7166666666666666,1.7166666666666666,6.038633565951927e-16,0.9799999999999957,4.218847493575595e-15,0.98,0.98,2.668233436118293e-16,0.5621643587048643,1.1102230246251565e-16,0.5621643587048644,0.5621643587048644,7.021666937153402e-18,18.0,0.0,18.0,18.0,0.0,1.5,0.0,1.5,1.5,0.0,0.3799999999999993,7.216449660063518e-16,0.38000000000000006,0.38000000000000006,4.564083509149712e-17,0.10000000000000035,3.3306690738754696e-16,0.10000000000000002,0.10000000000000002,2.1065000811460208e-17,0.5695862132060653,0.00029822012272112035,0.5691940512400643,0.5699430815503185,1.8861096637873428e-05,0.3799999999999993,0.3799999999999993,1.716666666666657,1.7166666666666666,1.7166666666666666,0.10000000000000035,18.0,1.5,0.5695862132060653,1.0,0.0,0.0,1.0,0.0,0.0,0.9880150524063745,3.0,crisis
2028,6.5,1.716666666666657,9.547918011776346e-15,1.7166666666666666,1.7166666666666666,6.038633565951927e-16,0.9799999999999957,4.218847493575595e-15,0.98,0.98,2.668233436118293e-16,0.5621643587048643,1.1102230246251565e-16,0.5621643587048644,0.5621643587048644,7.021666937153402e-18,18.0,0.0,18.0,18.0,0.0,1.5,0.0,1.5,1.5,0.0,0.3799999999999993,7.216449660063518e-16,0.38000000000000006,0.38000000000000006,4.564083509149712e-17,0.10000000000000035,3.3306690738754696e-16,0.10000000000000002,0.10000000000000002,2.1065000811460208e-17,0.5,0.0,0.5,0.5,0.0,0.3799999999999993,0.3799999999999993,1.716666666666657,1.7166666666666666,1.7166666666666666,0.10000000000000035,18.0,1.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.9880150524063745,2.0,crisis
2029,6.5,1.716666666666657,9.547918011776346e-15,1.7166666666666666,1.7166666666666666,6.038633565951927e-16,0.9799999999999957,4.218847493575595e-15,0.98,0.98,2.668233436118293e-16,0.5621643587048643,1.1102230246251565e-16,0.5621643587048644,0.5621643587048644,7.021666937153402e-18,18.0,0.0,18.0,18.0,0.0,1.5,0.0,1.5,1.5,0.0,0.3799999999999993,7.216449660063518e-16,0.38000000000000006,0.38000000000000006,4.564083509149712e-17,0.10000000000000035,3.3306690738754696e-16,0.10000000000000002,0.10000000000000002,2.1065000811460208e-17,0.5,0.0,0.5,0.5,0.0,0.3799999999999993,0.3799999999999993,1.716666666666657,1.7166666666666666,1.7166666666666666,0.10000000000000035,18.0,1.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.9880150524063745,1.0,crisis
2030,6.5,1.716666666666657,9.547918011776346e-15,1.7166666666666666,1.7166666666666666,6.038633565951927e-16,0.9799999999999957,4.218847493575595e-15,0.98,0.98,2.668233436118293e-16,0.5621643587048643,1.1102230246251565e-16,0.5621643587048644,0.5621643587048644,7.021666937153402e-18,18.0,0.0,18.0,18.0,0.0,1.5,0.0,1.5,1.5,0.0,0.3799999999999993,7.216449660063518e-16,0.38000000000000006,0.38000000000000006,4.564083509149712e-17,0.10000000000000035,3.3306690738754696e-16,0.10000000000000002,0.10000000000000002,2.1065000811460208e-17,0.5,0.0,0.5,0.5,0.0,0.3799999999999993,0.3799999999999993,1.716666666666657,1.7166666666666666,1.7166666666666666,0.10000000000000035,18.0,1.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.9880150524063745,0.0,crisis
