scenario,rr_mean_2030,pressure_mean_2030,offload_mean_2030,within4_mean_2030,effgap_mean_2030,occ_mean_2030
aged_care_places_increase,1.0,0.7166666666666667,5.0,0.712166895343772,0.152231264359846,0.78
audit_blitz,1.0,0.7166666666666667,5.0,0.712166895343772,0.152231264359846,0.78
nep_indexation_uplift,1.0,0.7166666666666667,5.0,0.712166895343772,0.11769234650107573,0.78
pooled_funding_pilot,1.0,0.7166666666666667,5.0,0.712166895343772,0.152231264359846,0.78
ucc_integrated_governance,1.0,0.7166666666666667,5.0,0.712166895343772,0.152231264359846,0.78
