scenario,rr_mean_2030,pressure_mean_2030,offload_mean_2030,within4_mean_2030,effgap_mean_2030,occ_mean_2030
adversarial,1.7166666666666612,1.7166666666666612,18.0,0.3621643587048646,0.10000000000000007,0.9799999999999973
baseline_equilibria,1.7166666666666612,1.7166666666666612,18.0,0.3621643587048646,0.10000000000000007,0.9799999999999973
cooperative,1.7166666666666612,1.7166666666666612,18.0,0.3621643587048646,0.10000000000000007,0.9799999999999973
equilibrium_random,1.7166666666666612,1.7166666666666612,18.0,0.3621643587048646,0.10000000000000007,0.9799999999999973
equilibrium_row_favourable,1.7166666666666612,1.7166666666666612,18.0,0.3621643587048646,0.10000000000000007,0.9799999999999973
no_stage_equilibria,1.7166666666666612,1.7166666666666612,18.0,0.3621643587048646,0.10000000000000007,0.9799999999999973
