param,mu,mu_star,sigma
dep0,18.845918572548225,18.845918572548225,9.304226200637473
S0,-13.529993349097936,17.273656594386996,13.783623716185764
eta_a,-13.516661623485922,13.516661623485922,3.9987730422406664
dep_x,1.0816674877450896,1.0816674877450896,0.6329308095642303
k_r,-0.03711909909210944,0.10038772135547697,0.12424067565506307
phi_g,0.0006614201822989588,0.009872657448290629,0.010242392839718685
k_a,0.0,0.0,0.0
beta,0.0,0.0,0.0
