tag,jurisdiction,mean_ed,mean_occ,mean_los,mean_offload,mean_x,mean_g,mean_c,mean_u,mean_r,mean_a,acf1_x,acf1_c
int_baseline,metro,0.5422603844363497,0.9177889288025302,6.109871802508262,29.730845038015627,0.06472443485347595,0.05338625022197056,0.7524972882081069,0.0,0.2235294117647059,0.5294117647058824,0.4887634095708167,0.9359127585299502
int_treasury_relax,metro,0.5422603844363497,0.9177889288025302,6.109871802508262,29.730845038015627,0.06472443485347595,0.05338625022197056,0.7524972882081069,0.0,0.2235294117647059,0.5294117647058824,0.4887634095708167,0.9359127585299502
int_capacity_build,metro,0.5670248795165773,0.9012792654157116,5.779678534771891,26.428912360651935,0.06472443485347595,0.05338625022197056,0.9175939220762916,0.0,0.2235294117647059,0.5294117647058824,0.4887634095708167,0.7404117316097627
int_audit_heavy,metro,0.5154263004463924,0.9356783181291682,6.467659589041023,33.30872290334326,0.06472443485347595,0.05338625022197056,0.5736033949417254,0.0,0.2235294117647059,0.5294117647058824,0.4887634095708167,0.9844578256702662
int_governance_package,metro,0.557584157332476,0.9113103773621334,5.969380765262435,28.354801943397657,0.05973018713455037,0.050355055070344684,0.8080427954723107,0.0,0.21176470588235294,0.35294117647058826,0.5297695806611349,0.8770554232204164
int_baseline,regional,0.5702208745225191,0.9029206463962697,5.800408003794255,26.729906744785605,0.05958614844305554,0.05267959574894427,0.8909432156186465,0.0,0.2235294117647059,0.7058823529411765,0.3587707727922472,0.8569235700120904
int_treasury_relax,regional,0.5702208745225191,0.9029206463962697,5.800408003794255,26.729906744785605,0.05958614844305554,0.05267959574894427,0.8909432156186465,0.0,0.2235294117647059,0.7058823529411765,0.3587707727922472,0.8569235700120904
int_capacity_build,regional,0.5761484481235072,0.8989689306622778,5.721373689114416,25.939563597987227,0.05958614844305554,0.05267959574894427,0.9304603729585653,0.0,0.2235294117647059,0.7058823529411765,0.3587707727922472,0.7716902800380617
int_audit_heavy,regional,0.5427970328365237,0.9212032075202666,6.166059226274196,30.38641896958501,0.05958614844305554,0.05267959574894427,0.7081176043786762,0.0,0.2235294117647059,0.7058823529411765,0.3587707727922472,0.9655673370066418
int_governance_package,regional,0.5657349738060726,0.9031088179620348,5.813341317065706,26.779821874827178,0.06342008630069415,0.051373448406885944,0.8968206308469627,0.0,0.21176470588235294,0.5294117647058824,0.4883488998492985,0.7409180897883533
int_baseline,remote,0.5588794361301578,0.90396412637431,5.841291713264731,27.02541879193625,0.06838362761227924,0.05514206093340806,0.8974434319156578,0.0,0.2235294117647059,0.7058823529411765,0.37390428663257724,0.8314062955382691
int_treasury_relax,remote,0.5588794361301578,0.90396412637431,5.841291713264731,27.02541879193625,0.06838362761227924,0.05514206093340806,0.8974434319156578,0.0,0.2235294117647059,0.7058823529411765,0.37390428663257724,0.8314062955382691
int_capacity_build,remote,0.5655619283762703,0.8995091315435683,5.752191816649898,26.13441982578791,0.06838362761227924,0.05514206093340806,0.9419933802230746,0.0,0.2235294117647059,0.7058823529411765,0.37390428663257724,0.6665557596806126
int_audit_heavy,remote,0.5245640727884046,0.9268410352688122,6.298829891154773,31.60080057083667,0.06838362761227924,0.05514206093340806,0.6686743429706365,0.0,0.2235294117647059,0.7058823529411765,0.37390428663257724,0.9685573864721627
int_governance_package,remote,0.5755472485957452,0.8997097482142062,5.735402392932129,26.069135718392207,0.05915043600810413,0.049839933486714776,0.9223857267139395,0.0,0.2235294117647059,0.7058823529411765,0.31623274076986396,0.7842850606964619
