scenario,delta_rr_2030,delta_offload_2030,delta_within4_2030,delta_pressure_2030,delta_effgap_2030
aged_care_places_increase,-0.00011367659611560832,-0.11600255999999831,0.004363326723124339,-0.007791294287301298,0.0
audit_blitz,-0.00011076076137861435,-0.08400000000000674,0.004295921664126401,-0.007670858086205379,0.0
nep_indexation_uplift,-9.58368349548433e-05,-0.0593200963814855,0.002931812839889081,-0.005233227776865301,-0.033810167483061676
pooled_funding_pilot,-0.00013324159816474612,-1.0560000000000027,0.004378202827934219,-0.00781581104743212,0.0
ucc_integrated_governance,-0.00014713295245605273,-0.7440000000000069,0.0070384224527683115,-0.012576266827898697,0.0
