year,pressure_mean,pressure_p10,pressure_p90,occupancy_mean,occupancy_p10,occupancy_p90,offload_mean,offload_p10,offload_p90,within4_mean,within4_p10,within4_p90,rr_mean,rr_p10,rr_p90,cth_nominal_mean,cth_effective_mean,effgap_mean,discharge_mean
2026,1.167795028532977,1.1263030175356514,1.1966038310006424,0.8810586910613699,0.8787365297160593,0.8829525297160593,17.377025477709456,16.241349406977655,18.441201042254676,0.4861334298253638,0.4725319102038354,0.5062252170932359,1.0605359864498356,1.0451977075365526,1.0712340922922539,0.4385719007110834,0.38127824807291977,0.15030520749511442,0.9809657142857142
2027,1.1583405294947309,1.0988595823069394,1.2107558244098098,0.8818332050734685,0.8775198073236005,0.8862184342475227,16.75573583861531,15.083542050420085,18.174596432033397,0.4910386539833157,0.46632503031854994,0.5204968169154767,1.057090263891164,1.035206445656625,1.0765532889098663,0.4401485551500173,0.38273428316335073,0.1500904857701214,0.9641714091428573
2028,1.14445625584292,1.0794285272066662,1.2135231210435482,0.8821332049202265,0.8756108343782011,0.8881174675301016,16.09872523067942,13.996942435573715,17.924532176300513,0.4980974487246347,0.4651355730617183,0.5308995707380808,1.0520120449414343,1.0281900100039572,1.0775964957252622,0.4415590788863252,0.38382951228241846,0.15052649906393187,0.9401126643281144
2029,1.1275664412795272,1.053289414293501,1.2011477845149268,0.8818002426148867,0.8725840438422929,0.8910521080976509,15.381544901236778,13.188928713099138,17.512956518820232,0.5068723726340041,0.47052087291132516,0.5452007941418935,1.0458704904379514,1.0188263170973715,1.072939671961563,0.4427765365248777,0.385181514494378,0.1496993765576504,0.9132465445127016
2030,1.1118985309868752,1.0372538837164988,1.1892058890337351,0.8811141920238775,0.869721407666995,0.8920261459035927,14.782203730560989,12.32969551188461,16.98934913312865,0.5148765849384235,0.47585795583194507,0.5541051895067917,1.0401653498725871,1.0131242943743874,1.0684639736170272,0.44373622306693455,0.38621080113798606,0.14916719522313573,0.889947153315658
