rr_end,pressure_end,within4_end,offload_end
1.0207600136641566,1.0539185581301986,0.5450212591246075,17.307011487378226
1.0460455944861458,1.1250402618920894,0.5079336460001289,18.046995858984182
1.0380891119327584,1.102192557913537,0.5197592200343102,17.468027732666084
1.0318020253833435,1.0861805959099602,0.5281480955040492,17.517883217470697
1.0198191254197868,1.0556938480427853,0.5441086861430443,17.323960770532636
1.0697888268474882,1.1878457989813158,0.4789921306003035,17.737110806109094
1.0381919130591477,1.1047127786960473,0.5185636121954004,17.488811065309577
1.065021093954945,1.17603194091127,0.48386023728616484,17.794963472486014
1.0280866748972568,1.0742850932351435,0.5342042316804928,17.555296520996155
1.036501994616897,1.0980720719321209,0.5217800045060262,17.654967932801984
1.0125753348576199,1.033787622803364,0.5560964045305712,16.974156956558186
1.0215450933794095,1.0549944653872414,0.5446608485292646,17.449894476111893
1.0693990764184549,1.1886084154002245,0.47930969626980163,17.762215121973618
1.044541465390616,1.1183145966423953,0.5119545665242913,17.836124919602753
1.0297385614511232,1.0801414303215542,0.5311028453295618,18.00360135201627
1.0246033310177036,1.068052484346217,0.5376564018026148,17.232248149917158
1.020967798012349,1.0534807884778388,0.545436175627992,17.363312462130967
1.0264929336042028,1.0686604984991277,0.5370616764598097,17.57140783311305
1.0193041235528886,1.0504174367110444,0.5469739752174086,17.536818539816018
1.0370003968357429,1.0955863801695256,0.5231455811797743,18.07384550744059
1.018221696366179,1.051025397356621,0.546627835517588,17.363801297887438
1.0148909702875961,1.0388130318774333,0.5533127203074021,17.531121874636415
1.0163641099921814,1.0441079982760406,0.5504655873068378,17.026263658203277
1.024423499695378,1.0672593478188528,0.5379682848271133,17.716604700411224
1.0574074017207766,1.1553798357984792,0.49464026214472684,17.83883119016042
1.020802042150702,1.0558140413623576,0.5440271679044733,17.413839860159943
1.0170412111192002,1.0448212554540626,0.5500079383467887,17.535771250886846
1.0703794073710529,1.1901010840519426,0.4787866525478177,17.395970534116728
1.0234611794265327,1.0641663730496262,0.5396894390213152,17.182868140220613
1.0385603715662368,1.1018636834593385,0.5198715860897739,17.86191117800845
1.0349278486088793,1.0920551935720237,0.5251413271148185,17.944939376847994
1.0619828336771853,1.1697110886125934,0.4868817352953133,17.613201413730625
1.0154237869888931,1.040562513931776,0.5523539807886231,17.45117551767397
1.0200250550138694,1.0559153566855246,0.5440534604271722,17.57439701108127
1.0136702057999052,1.0360265917382077,0.5548527801638058,17.18116488281424
1.0240893637158384,1.0664085461321542,0.5385032948824674,17.03652834763069
1.0634163921724895,1.1673434261645668,0.4883574656862475,18.167358062662156
1.020600903641463,1.0544555452393152,0.5448571791984976,17.189446831220778
1.0566195113263401,1.1539927077981194,0.4940700058945652,17.504966745491004
1.0364042395245308,1.0977292157867888,0.5219432692260624,17.37995019300251
1.0247161770502333,1.0660031892089643,0.5386612051790719,17.026237867970696
1.0245837215795432,1.0663834888474806,0.5382894369397951,17.768891810495624
1.0353746843382376,1.093712150918294,0.5241505548601492,17.752750346473366
1.0198814317226466,1.0497126096842049,0.5474007682352886,17.26710744152035
1.0741024098927954,1.196544610804092,0.47613559270127176,17.6920677323712
1.039814766190913,1.109341246581514,0.5166834460397558,17.23154754534365
1.0253922589070559,1.0675922723314715,0.5377302170720928,17.467832620812896
1.0299156483153893,1.0817368852642038,0.5301442769971946,17.31932182481773
1.0512776762731588,1.1371235999582698,0.5027355686329809,17.77596891173913
1.043716031786569,1.1176449077779824,0.5122059485041404,17.744201525076058
1.020299791469582,1.0531091326980053,0.5456266623943232,17.363938697379414
1.0178808142895412,1.0453941845739607,0.5496885981090662,17.475456085655352
1.0372874866409263,1.1038230309387962,0.5188440619044067,17.19771141793635
1.0134318496611492,1.036228418007582,0.5547199230887649,17.465512467463164
1.0251859943632244,1.0702790493914116,0.536421957068715,16.831603413182453
1.0334614253289558,1.090966696625943,0.5253905286269562,17.803733967488228
1.0378629273941335,1.097109705050634,0.5227232255497505,17.874281050488253
1.033770689990099,1.090853263159022,0.5256278710938185,17.269206765909416
1.0517162264463373,1.1388938144012233,0.5012895889225818,17.70652623006119
1.0265720116472765,1.0703544889718504,0.5362843322485918,17.645716101594836
1.0362024036317838,1.091197568620509,0.5252113536936457,18.10737126005047
1.0135958039839499,1.0369396363612047,0.5543166309213488,17.55892672907354
1.0236384648591688,1.0637866314133697,0.5399390653783666,17.315509256268758
1.040970479977762,1.107528828741876,0.5173418335079442,17.689011350949674
1.0152388087892332,1.0421612957398394,0.5514758720622953,17.200219814261438
1.0240015760444343,1.0631420300910999,0.5402360249310485,17.25756529979125
1.01466127493229,1.039361698323662,0.5529732949526688,17.475167770806728
1.0179321364064344,1.0503662191245757,0.5469779277310463,17.298221119819416
1.0709794535640014,1.1871743852828072,0.48055073166789336,17.90931538834695
1.012403421336357,1.0331650929471408,0.5564357629618469,16.953243446019624
1.0375619553036999,1.1034003518485964,0.5195052929166305,17.316540094486587
1.0443649331567346,1.1221424145737473,0.5096095181912645,17.557201112813846
1.037184830347763,1.1019857002173934,0.5202342020193346,17.500628235309467
1.0603134961185683,1.1633987278996785,0.4897759338433824,17.77386672220489
1.068292727104764,1.1847953410070748,0.4804274533244753,17.488621252614767
1.037318084865589,1.0992374999543437,0.5213169019511003,17.933091558302216
1.0523385210734668,1.1389613722600624,0.5019261935132687,17.65808434420731
1.0125798673684765,1.0326109195349695,0.5567602209460535,16.898748860792814
1.0336080911606071,1.0910563323921132,0.5252171018189808,17.808974735079335
1.0297709337283636,1.0808535386798557,0.5307878627797012,17.484114399762436
