year,nep_per_nwau,wpi_health_index
2011,4808.0,100.0
2012,4808.0,103.08571428571429
2013,4993.0,106.24
2014,5007.0,109.30285714285715
2015,4971.0,112.11428571428573
2016,4883.0,114.81142857142856
2017,4933.07,117.78285714285713
2018,5012.0,121.02857142857142
2019,5134.0,124.82285714285715
2020,5320.0,127.61142857142855
2021,5597.0,130.07999999999998
2022,5797.0,133.4171428571429
2023,6032.0,139.0857142857143
2024,6465.0,144.8685714285714
2025,7258.0,149.82095238095238
