year,pressure_mean,pressure_p10,pressure_p90,occupancy_mean,occupancy_p10,occupancy_p90,offload_mean,offload_p10,offload_p90,within4_mean,within4_p10,within4_p90,rr_mean,rr_p10,rr_p90,cth_nominal_mean,cth_effective_mean,effgap_mean,discharge_mean,nep_per_nwau,representative_nwau,efficient_payment,cth_payment_index,actual_cost_index,state_payment_index,network_externality
2026,1.175125259804161,1.130472754515227,1.2051958788155075,0.8810442637732654,0.8787365297160593,0.8829525297160593,17.997665775586757,16.812529574941344,19.053201042254674,0.48271568561228356,0.46873894708805697,0.5041057017313936,1.0632636553575328,1.0467241891961345,1.07446037381983,0.43854368318197495,0.38109480973059223,0.15078107201454716,0.9826309090909091,1.03,1.0,1.03,0.4516999936774342,1.1853045041749835,0.7336045104975493,0.6078738643374826
2027,1.168059720032556,1.1073539772606682,1.223949836237494,0.8817464542541558,0.8775154393236004,0.8862363811379699,17.94044214999366,16.235990493517104,19.39475590060176,0.48648607931598437,0.4607260158151058,0.5160227654446722,1.0610081744972597,1.038288729762395,1.081860598781919,0.44017953030128854,0.3824827896830676,0.1509251909832897,0.9577816821818183,1.0609,1.0,1.0609,0.466986463696637,1.221016535114172,0.754030071417535,0.5998149264269914
2028,1.1571189479199528,1.090374634736218,1.2328643923920897,0.8818391807373213,0.8755049965760251,0.8881174675301016,17.906967396762496,15.767357951580914,19.638030907772,0.4920627665070871,0.45704728381811915,0.5250119947848804,1.0572812860180327,1.03213670745048,1.0849159705778295,0.44157428749320715,0.38368562337616935,0.15099413015602636,0.9278807551555637,1.092727,1.0,1.092727,0.4825201464495898,1.257722362863004,0.7752022164134142,0.5877437972286907
2029,1.145447160001768,1.0731830437598935,1.2299321093200066,0.8813727178450229,0.872746832403343,0.8903512316359229,17.828229826823577,15.638778441789196,19.902199497647107,0.4981080677361621,0.4582479993576884,0.534287818374908,1.0535035571780529,1.025944932292882,1.0851249679435389,0.44277005627312177,0.38499330933669085,0.1502322325833691,0.9017647885623383,1.1255088100000001,1.0,1.1255088100000001,0.49834159913959436,1.2945965113185511,0.7962549121789568,0.5748906884394128
2030,1.1337053814054117,1.0602685922590802,1.2228093698543947,0.8804956664480769,0.8701142462779989,0.8916908480506625,17.768295535793648,15.31091414030961,20.01250268669624,0.5040400041516009,0.4612027873193493,0.5413531814905519,1.0497152969598842,1.02131806868365,1.081557359805998,0.4437461901876212,0.38594899954913514,0.14995542942011733,0.8789468997733509,1.1592740743,1.0,1.1592740743,0.5144234538539063,1.3331135159272656,0.8186900620733593,0.5622725162551357
