parameter,correlation_with_error,abs_importance
discharge_delay_base,-0.8697666935823685,0.8697666935823685
fragmentation_index,-0.8085929122247728,0.8085929122247728
political_salience,0.6388845979816877,0.6388845979816877
cost_shifting_intensity,0.3206585803837318,0.3206585803837318
audit_pressure,-0.18364599085896968,0.18364599085896968
