x,g,u,r,a
0.0,0.0,0.0,0.0,0.0
0.0,0.125,0.0,0.5,0.0
0.0,0.25,0.0,0.5,0.0
0.0,0.375,0.0,0.5,0.0
0.0,0.5,0.0,0.0,0.0
0.0,0.625,0.0,0.0,0.0
0.0,0.75,0.0,0.0,0.0
0.0,0.875,0.0,0.5,0.0
0.0,1.0,0.0,0.5,0.0
0.1388888888888889,0.0,0.0,0.0,3.75
0.1388888888888889,0.125,0.0,0.0,3.75
0.1388888888888889,0.25,0.0,0.0,3.75
0.1388888888888889,0.375,0.0,0.5,3.75
0.1388888888888889,0.5,0.0,0.5,0.0
0.1388888888888889,0.625,0.0,0.5,3.75
0.1388888888888889,0.75,0.0,0.0,3.75
0.1388888888888889,0.875,0.0,0.0,3.75
0.1388888888888889,1.0,0.0,0.0,3.75
0.2777777777777778,0.0,0.0,0.5,3.75
0.2777777777777778,0.125,0.0,0.5,3.75
0.2777777777777778,0.25,0.0,0.0,3.75
0.2777777777777778,0.375,0.0,0.0,3.75
0.2777777777777778,0.5,0.0,0.5,3.75
0.2777777777777778,0.625,0.0,0.5,3.75
0.2777777777777778,0.75,0.0,0.5,3.75
0.2777777777777778,0.875,0.0,0.0,3.75
0.2777777777777778,1.0,0.0,1.0,3.75
0.4166666666666667,0.0,0.0,0.5,3.75
0.4166666666666667,0.125,0.0,0.5,3.75
0.4166666666666667,0.25,0.0,0.5,3.75
0.4166666666666667,0.375,0.0,0.0,3.75
0.4166666666666667,0.5,0.0,0.0,3.75
0.4166666666666667,0.625,0.0,1.0,3.75
0.4166666666666667,0.75,0.0,0.5,3.75
0.4166666666666667,0.875,0.0,0.5,3.75
0.4166666666666667,1.0,0.0,0.5,3.75
0.5555555555555556,0.0,0.0,0.0,3.75
0.5555555555555556,0.125,0.0,0.0,3.75
0.5555555555555556,0.25,0.0,0.5,3.75
0.5555555555555556,0.375,0.0,0.5,3.75
0.5555555555555556,0.5,0.0,0.5,3.75
0.5555555555555556,0.625,0.0,1.0,3.75
0.5555555555555556,0.75,0.0,0.0,3.75
0.5555555555555556,0.875,0.0,0.5,3.75
0.5555555555555556,1.0,0.0,0.5,3.75
0.6944444444444444,0.0,0.0,0.0,3.75
0.6944444444444444,0.125,0.0,0.0,3.75
0.6944444444444444,0.25,0.0,0.0,3.75
0.6944444444444444,0.375,0.0,0.5,3.75
0.6944444444444444,0.5,0.0,0.5,3.75
0.6944444444444444,0.625,0.0,0.5,3.75
0.6944444444444444,0.75,0.0,1.0,3.75
0.6944444444444444,0.875,0.0,0.0,3.75
0.6944444444444444,1.0,0.0,1.0,3.75
0.8333333333333334,0.0,0.0,0.5,3.75
0.8333333333333334,0.125,5.0,0.5,3.75
0.8333333333333334,0.25,5.0,0.0,3.75
0.8333333333333334,0.375,5.0,0.0,3.75
0.8333333333333334,0.5,5.0,0.0,3.75
0.8333333333333334,0.625,5.0,0.5,3.75
0.8333333333333334,0.75,5.0,0.5,3.75
0.8333333333333334,0.875,5.0,0.5,3.75
0.8333333333333334,1.0,5.0,1.0,3.75
0.9722222222222223,0.0,0.0,0.0,3.75
0.9722222222222223,0.125,0.0,0.5,3.75
0.9722222222222223,0.25,0.0,0.5,3.75
0.9722222222222223,0.375,0.0,0.0,3.75
0.9722222222222223,0.5,0.0,0.0,3.75
0.9722222222222223,0.625,0.0,0.0,3.75
0.9722222222222223,0.75,0.0,0.5,3.75
0.9722222222222223,0.875,0.0,0.5,3.75
0.9722222222222223,1.0,0.0,0.0,3.75
1.1111111111111112,0.0,0.0,0.0,3.75
1.1111111111111112,0.125,0.0,0.0,3.75
1.1111111111111112,0.25,0.0,0.5,3.75
1.1111111111111112,0.375,0.0,0.5,3.75
1.1111111111111112,0.5,0.0,0.5,3.75
1.1111111111111112,0.625,0.0,1.0,3.75
1.1111111111111112,0.75,0.0,0.0,3.75
1.1111111111111112,0.875,0.0,0.0,3.75
1.1111111111111112,1.0,0.0,0.0,3.75
1.25,0.0,0.0,0.5,3.75
1.25,0.125,0.0,0.0,3.75
1.25,0.25,0.0,1.0,3.75
1.25,0.375,0.0,1.0,3.75
1.25,0.5,0.0,0.5,3.75
1.25,0.625,0.0,0.5,3.75
1.25,0.75,0.0,0.0,3.75
1.25,0.875,0.0,1.0,3.75
1.25,1.0,0.0,0.0,3.75
1.3888888888888888,0.0,0.0,0.5,3.75
1.3888888888888888,0.125,0.0,0.5,3.75
1.3888888888888888,0.25,0.0,0.0,3.75
1.3888888888888888,0.375,0.0,0.0,3.75
1.3888888888888888,0.5,0.0,1.0,3.75
1.3888888888888888,0.625,0.0,0.5,3.75
1.3888888888888888,0.75,0.0,0.0,3.75
1.3888888888888888,0.875,0.0,0.0,3.75
1.3888888888888888,1.0,0.0,0.0,3.75
1.527777777777778,0.0,0.0,1.0,3.75
1.527777777777778,0.125,0.0,0.5,3.75
1.527777777777778,0.25,0.0,0.5,3.75
1.527777777777778,0.375,0.0,0.5,3.75
1.527777777777778,0.5,0.0,1.0,3.75
1.527777777777778,0.625,0.0,1.0,3.75
1.527777777777778,0.75,0.0,0.0,3.75
