scenario,interventions,pressure_2030,within4_2030,offload_2030,rr_2030,effshare_nominal_2030,effshare_effective_2030,effgap_2030
baseline,(none),0.0,0.0,0.0,1.0500075325534686,0.44375319379437855,0.0,0.0
pooled_funding,pooled_funding,-0.0018702956642429047,0.0009389044756094034,-0.005209535320791048,1.0493223586759135,0.44375319379437855,0.0,0.0
ucc_integration,ucc_integration,-0.022266209941204762,0.01118600717860807,-2.9179434439608,1.0401653498725871,0.44373622306693455,-0.00012983617693579363,0.0003490300283061909
nep_realism,nep_realism,-0.007890612032393829,0.0039005939341897333,-0.061558394923270754,1.0470038764482887,0.43589340208969896,0.007917939345680136,-0.04309958806913
discharge_capacity,aged_ndis_capacity,-0.0474828004706378,0.024003164666883126,-0.17665294038356194,1.032300546556694,0.44359921444158457,-0.0004966127841112833,0.001080628465702116
bundle_all,"pooled_funding, ucc_integration, nep_realism, aged_ndis_capacity, middle_tier, cumulative_cap",-0.08262616535307465,0.04285876816087686,-3.1864429142551103,1.0187477146164898,0.432928367650719,0.009755595699861619,-0.05574616076551668
