param,value,rr_end,pressure_end,within4_end,offload_end
noise_sd,0.01,1.050015591157638,1.1322967440375042,0.5044159519727291,17.77308972061821
noise_sd,0.03,1.0512480884040836,1.1352858412706364,0.5030437098331582,17.798192751367292
noise_sd,0.06,1.0492488217538505,1.130084321638841,0.5058503177627607,17.770329199225543
cost_shifting_intensity,0.2,1.0498762121804661,1.1316501660044742,0.5048417070738941,17.788050426103673
cost_shifting_intensity,0.3,1.050715221364305,1.133818237023751,0.5038110710599729,17.79267038538646
cost_shifting_intensity,0.4,1.0516854323798035,1.1364290130818062,0.5024941116916215,17.800212183213176
cost_shifting_intensity,0.5,1.0529783922493192,1.139874221405178,0.5007580785949304,17.80190862973385
discharge_delay_base,0.7,1.0170382959402828,1.0433610381792031,0.5507907434685173,17.40798081147531
discharge_delay_base,1.0,1.0512480884040836,1.1352858412706364,0.5030437098331582,17.798192751367292
discharge_delay_base,1.3,1.1100505981660413,1.2875564317413362,0.4388671376291464,18.259929912163763
political_salience,0.1,1.050652293260179,1.1343168179281415,0.5035234058401755,17.67235430983235
political_salience,0.3,1.0512480884040836,1.1352858412706364,0.5030437098331582,17.798192751367292
political_salience,0.5,1.0516008926666895,1.1359953171489356,0.502719215472237,17.892318612949627
