scenario,interventions,end_year,pressure_mean,offload_mean,within4_mean,rr_mean,cth_nominal_mean,cth_effective_mean,effgap_mean,discharge_mean
baseline,,2030,1.1352858412706364,17.798192751367292,0.5030437098331582,1.0512480884040836,0.4437303340245197,0.38607126508209305,0.1495583752499771,0.8811086644442441
pooled,pooled,2030,1.1335241331071182,17.79194497315182,0.5039607421460183,1.0506075872036065,0.4437303340245197,0.38607126508209305,0.1495583752499771,0.8786760420864445
discharge,discharge,2030,1.089337733606622,17.62087923590999,0.5263183880410647,1.0339947431054177,0.4435134429851402,0.3856861125555519,0.1501507329389399,0.8277490036449452
indexation,indexation,2030,1.1281026120731572,17.737375315280445,0.5065839142104125,1.0484616225153356,0.43582620173830494,0.39396630028116936,0.10637147772983349,0.8844563570711521
pooled+discharge,"pooled,discharge",2030,1.0867150986009178,17.61246845156773,0.5276584731281739,1.0330212682041968,0.4435134429851402,0.3856861125555519,0.1501507329389399,0.8239368564473922
bundle,"pooled,discharge,indexation,integration,workforce,cap,audit_relief",2030,1.048751227440529,14.5661917947462,0.5480744830812686,1.0177637123659653,0.43267595628111166,0.39614263021019425,0.09231253292890863,0.8318831774260328
partial_pooled,pooled_partial(0.5),2030,1.1332739854323228,17.792847975689963,0.5040488737461378,1.0505105501789762,0.4437303340245197,0.38607126508209305,0.1495583752499771,0.8780183871228753
