parameter,mu,mu_star,sigma,mu_star_conf
discharge_delay_base,0.08092321933441542,0.08092321933441542,0.031955225870091225,0.01890994523375382
cost_shifting_intensity,0.044770993255147294,0.044770993255147294,0.05129426749952533,0.027571819161372177
fragmentation_index,0.04121982615304917,0.04121982615304917,0.0018946467543341462,0.0011049574342512746
admin_burden_weight,-0.006932790412817131,0.006932790412817131,0.0013296886766581315,0.0008434577652997722
rurality_weight,0.0032111636413275912,0.0032111636413275912,0.0006188966366888021,0.00037275372897392384
political_salience,0.0,0.0,0.0,0.0
