t,N,P,within4_proxy,u,a,g,anchor,p_agree,burden,q,e,integrated_equilibrium,cond_penalty
0,95.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.765527950310559,1.275,1.0,0.75,1,1.0
1,94.53550097131631,0.0,0.67,0.0,0.0,4980.471707975443,0.0,0.765527950310559,1.275,1.0,0.75,1,1.0
2,95.07100194263262,0.0,0.67,0.0,0.0,4030.378955756305,0.0,0.765527950310559,1.275,1.0,0.75,1,1.0
3,100.60650291394893,0.006065029139489253,0.6615089592047151,0.0,0.0,3449.34828418569,1.0,0.46752795031055894,1.2753002189424048,1.0003639017483694,0.7500909754370924,1,1.0
4,90.1426066804265,0.0,0.67,0.0,0.0,3003.5350989876733,1.0,0.46752795031055894,1.275,1.0,0.75,1,1.0
5,97.6781076517428,0.0,0.67,0.0,0.0,2357.724560324755,1.0,0.46752795031055894,1.275,1.0,0.75,1,1.0
6,109.21360862305912,0.09213608623059111,0.5410094792771725,0.0,0.0,1905.9616975735726,1.0,0.46752795031055894,1.2795607362684143,1.0055281651738355,0.7513820412934589,1,1.0
7,102.75826570682533,0.027582657068253358,0.6313842801044454,0.0,0.0,1687.5533983755868,1.0,0.46752795031055894,1.2763653415248783,1.001654959424095,0.7504137398560238,1,1.0
8,91.2965079940631,0.0,0.67,0.0,0.0,1468.4184594661112,1.0,0.46752795031055894,1.275,1.0,0.75,1,1.0
9,93.8320089653794,0.0,0.67,0.0,0.0,1323.05465182246,0.0,0.765527950310559,1.275,1.0,0.75,1,1.0
10,91.36750993669571,0.0,0.67,0.0,0.0,1123.1393287006101,0.0,0.765527950310559,1.275,1.0,0.75,1,1.0
11,99.90301090801202,0.0,0.67,0.0,0.0,1136.4512604467711,1.0,0.46752795031055894,1.275,1.0,0.75,1,1.0
12,96.43851187932833,0.0,0.67,0.0,0.0,1136.9402019003116,0.0,0.765527950310559,1.275,1.0,0.75,1,1.0
13,95.97401285064464,0.0,0.67,0.0,0.0,1066.155231276371,0.0,0.765527950310559,1.275,1.0,0.75,1,1.0
14,97.50951382196095,0.0,0.67,0.0,0.0,1115.6483057179003,0.0,0.765527950310559,1.275,1.0,0.75,1,1.0
15,104.04501479327726,0.04045014793277257,0.6133697928941184,0.0,0.0,1089.2695787995249,0.0,0.765527950310559,1.2770022823226723,1.0024270088759664,0.7506067522189916,1,1.0
16,110.58453584559915,0.10584535845599152,0.5218164981616119,0.0,0.0,935.4864167512961,1.0,0.46752795031055894,1.2802393452435716,1.0063507215073595,0.7515876803768399,1,1.0
17,112.13055508739217,0.12130555087392159,0.5001722287765098,0.0,0.0,935.2642118092868,1.0,0.46752795031055894,1.2810046247682592,1.0072783330524353,0.7518195832631088,1,1.0
18,110.67811039270902,0.10678110392709006,0.5205064545020739,0.0,0.0,802.3231093645296,1.0,0.46752795031055894,1.280285664644391,1.0064068662356254,0.7516017165589064,1,1.0
19,104.22422260847348,0.042242226084734824,0.6108608834813712,0.0,0.0,879.703517622351,0.0,0.765527950310559,1.2770909901911944,1.0025345335650842,0.7506336333912711,1,1.0
20,99.76392175278747,0.0,0.67,0.0,0.0,848.7702229992556,0.0,0.765527950310559,1.275,1.0,0.75,1,1.0
21,97.29942272410378,0.0,0.67,0.0,0.0,810.5299420448785,0.0,0.765527950310559,1.275,1.0,0.75,1,1.0
22,94.83492369542009,0.0,0.67,0.0,0.0,730.3309991955086,0.0,0.765527950310559,1.275,1.0,0.75,1,1.0
23,95.3704246667364,0.0,0.67,0.0,0.0,856.5189332238099,0.0,0.765527950310559,1.275,1.0,0.75,1,1.0
24,102.90592563805271,0.029059256380526977,0.6293170410672623,0.0,0.0,819.7621983721677,0.0,0.765527950310559,1.276438433190836,1.0017435553828316,0.7504358888457079,1,1.0
25,104.44431467150574,0.04444314671505745,0.6077795945989196,0.0,0.0,762.9769764814234,1.0,0.46752795031055894,1.277199935762395,1.0026665888029034,0.7506666472007258,1,1.0
26,109.98423253620021,0.099842325362002,0.5302207444931972,0.0,0.0,725.1682261363158,1.0,0.46752795031055894,1.279942195105419,1.0059905395217201,0.7514976348804301,1,1.0
27,118.52965532137591,0.18529655321375915,0.4105848255007372,0.0,0.0,783.3654994643875,1.0,0.46752795031055894,1.284172179384081,1.0111177931928255,0.7527794482982064,1,1.0
28,110.08356776931191,0.10083567769311919,0.5288300512296331,0.0,0.0,813.236806007918,1.0,0.46752795031055894,1.2799913660458095,1.0060501406615872,0.7515125351653968,1,1.0
29,122.62908925392333,0.2262908925392333,0.3531927504450734,0.0,0.0,841.8627059659333,1.0,0.46752795031055894,1.2862013991806922,1.013577453552354,0.7533943633880885,1,1.0
30,129.18707362174848,0.2918707362174848,0.26138096929552124,0.0,0.0,866.5722650735349,1.0,0.46752795031055894,1.2894476014427654,1.017512244173049,0.7543780610432622,1,1.0
31,125.75157092809118,0.25751570928091194,0.3094780070067233,0.0,0.0,1057.4225721458743,1.0,0.46752795031055894,1.2877470276094052,1.0154509425568548,0.7538627356392137,1,1.0
32,128.31265648791987,0.28312656487919874,0.2736228091691218,0.0,0.0,955.2965560782378,1.0,0.46752795031055894,1.2890147649615205,1.016987593892752,0.754246898473188,1,1.0
33,130.8762854566671,0.30876285456667096,0.23773200360666064,0.0,0.0,863.0129719554366,1.0,0.46752795031055894,1.2902837613010503,1.0185257712740003,0.7546314428185001,1,1.0
34,136.44246016644377,0.3644246016644377,0.1598055576697872,0.0,0.0,759.0331047395616,1.0,0.46752795031055894,1.2930390177823896,1.0218654760998662,0.7554663690249666,1,1.0
35,139.01416154521573,0.3901416154521573,0.12380173836697972,0.0,0.0,818.8244260491989,1.0,0.46752795031055894,1.294312009964882,1.0234084969271295,0.7558521242317824,1,1.0
36,131.58841606425176,0.31588416064251756,0.22776217510047542,0.0,0.0,917.9567701114483,1.0,0.46752795031055894,1.2906362659518047,1.018953049638551,0.7547382624096377,1,1.0
37,131.15529790128485,0.3115529790128486,0.2338258293820119,0.0,0.0,872.9706703236712,1.0,0.46752795031055894,1.290421872461136,1.018693178740771,0.7546732946851927,1,1.0
38,128.7217496649774,0.28721749664977403,0.26789550469031637,0.0,0.0,764.3608885626842,1.0,0.46752795031055894,1.2892172660841639,1.0172330497989865,0.7543082624497466,1,1.0
39,125.28578488541689,0.25285784885416884,0.3159990116041636,0.0,0.0,679.0405892810235,1.0,0.46752795031055894,1.2875164635182812,1.01517147093125,0.7537928677328125,1,1.0
