year,pressure_mean,pressure_p10,pressure_p90,occupancy_mean,occupancy_p10,occupancy_p90,offload_mean,offload_p10,offload_p90,within4_mean,within4_p10,within4_p90,rr_mean,rr_p10,rr_p90,cth_nominal_mean,cth_effective_mean,effgap_mean,discharge_mean,polcap_mean
2025,1.0,1.0,1.0,0.88,0.88,0.88,18.0,18.0,18.0,0.53,0.53,0.53,1.0,1.0,1.0,0.4368318197493965,0.38,0.14955742039314868,1.0,1.0
2026,1.1331004202743202,1.122847653989551,1.1435658852103536,0.8772236148000495,0.8772236148000495,0.8772236148000495,17.578529140623026,16.557508693114926,18.612317308900625,0.5028017354782369,0.49754201193793235,0.5079918512362311,1.0476911910795998,1.0439344281497667,1.05153190688446,0.44012386481204735,0.3828935673718824,0.14946790000412952,0.918,1.05
2027,1.0864440692818016,1.0743239795378694,1.0987828201578416,0.871811560853067,0.871811560853067,0.871811560853067,17.27220964655439,15.94749090876138,18.608354630070114,0.5271470991776488,0.5205373730688011,0.5336673455992398,1.0308102672382269,1.026354694370174,1.0351786153758322,0.4425928986090355,0.38506970784875816,0.14938383775145056,0.842724,1.1
2028,1.0379500461186357,1.0240738930794628,1.052166034177625,0.8639799417832402,0.8639799417832402,0.8639799417832402,16.824913564403627,15.147734981883884,18.514745664846775,0.553733090890704,0.5458218405896273,0.5614747617780484,1.0135008894960496,1.0084614602109452,1.0184258105069186,0.4444446739567766,0.38670736862684374,0.14930490084776984,0.773620632,1.1500000000000001
2029,1.0104840895786757,0.994926386170599,1.0269614582482915,0.8558457111047931,0.8558457111047931,0.8558457111047931,16.27916136506085,14.342365667891686,18.28267790106163,0.5691100828289603,0.5598571076568957,0.5778537546861416,1.0041480344731202,1.0,1.009481176072236,0.4458335054675825,0.38794079872322385,0.1492307767960805,0.765,1.2000000000000002
2030,0.9876936291546726,0.968919284564115,1.0056211346282016,0.8477106451706242,0.8477106451706242,0.8477106451706242,15.719383538955068,13.32289180779906,17.938511943563206,0.5819116950901216,0.5718383203370337,0.5924478016157049,1.0006017281772654,1.0,1.001969335059924,0.4468751291006869,0.3888707171193464,0.14916117215259134,0.765,1.2500000000000002
