t,N,P,u,a
167,113.25,0.13250000000000006,0.0,0.0
168,116.125,0.1612499999999999,0.0,0.0
169,109.0,0.09000000000000008,0.0,0.0
170,111.875,0.11874999999999991,0.0,0.0
171,113.75,0.13749999999999996,0.0,0.0
172,108.625,0.08624999999999994,0.0,0.0
173,119.5,0.19500000000000006,0.0,0.0
174,123.375,0.2337499999999999,0.0,0.0
175,108.25,0.08250000000000002,0.0,0.0
176,100.125,0.0012499999999999734,0.0,0.0
177,105.0,0.050000000000000044,0.0,0.0
178,111.875,0.11874999999999991,0.0,0.0
179,115.75,0.15749999999999997,0.0,0.0
180,111.625,0.11624999999999996,0.0,0.0
