year,game,eq_index,kind,row_action,col_action,row_payoff,col_payoff,n_equilibria_in_game
2026,DEF,1,pure,R,R,1.310145698009129,1.5151456980091291,1
2026,BARG,1,pure,A,A,1.448482111253641,1.4634821112536411,1
2026,SHIFT,1,pure,I,I,1.2086859557386753,1.2086859557386753,1
2026,DISC,1,pure,C,C,0.798732199743446,0.798732199743446,1
2026,GOV,1,pure,I,I,1.2848749557550974,1.4898749557550972,1
2026,COMP,1,pure,L,L,1.1046275300028907,1.025,1
2027,DEF,1,pure,R,R,1.2866219234850091,1.4916219234850092,1
2027,BARG,1,pure,A,A,1.4338217833024054,1.4488217833024055,1
2027,SHIFT,1,pure,I,I,1.246840636425593,1.246840636425593,1
2027,DISC,1,pure,C,C,0.82512079005567,0.82512079005567,1
2027,GOV,1,pure,I,I,1.2643504966233678,1.4693504966233677,1
2027,COMP,1,pure,L,L,1.1045686864260156,1.025,1
2028,DEF,1,pure,R,R,1.2738443111969069,1.478844311196907,1
2028,BARG,1,pure,A,A,1.4258752440741818,1.4408752440741819,1
2028,SHIFT,1,pure,I,I,1.2675371600256309,1.2675371600256309,1
2028,DISC,1,pure,C,C,0.8394245606664725,0.8394245606664725,1
2028,GOV,1,pure,I,I,1.2532253417038548,1.4582253417038546,1
2028,COMP,1,pure,L,L,1.104513430593439,1.025,1
2029,DEF,1,pure,R,R,1.2658368139455423,1.4708368139455423,1
2029,BARG,1,pure,A,A,1.4209076203179236,1.4359076203179237,1
2029,SHIFT,1,pure,I,I,1.2804863376151623,1.2804863376151623,1
2029,DISC,1,pure,C,C,0.8483662834277372,0.8483662834277372,1
2029,GOV,1,pure,I,I,1.2462706684450933,1.4512706684450931,1
2029,COMP,1,pure,L,L,1.1044615437572562,1.025,1
2030,DEF,1,pure,R,R,1.2583555616773818,1.463355561677382,1
2030,BARG,1,pure,A,A,1.416266639972068,1.4312666399720682,1
2030,SHIFT,1,pure,I,I,1.2925842086039572,1.2925842086039572,1
2030,DISC,1,pure,C,C,0.8567200480502775,0.8567200480502775,1
2030,GOV,1,pure,I,I,1.2397732959608951,1.444773295960895,1
2030,COMP,1,pure,L,L,1.104412820506814,1.025,1
