scenario,rr_mean_2030,pressure_mean_2030,offload_mean_2030,within4_mean_2030,effgap_mean_2030,occ_mean_2030,nep_to_cost_2030
aged_ndis_capacity,1.1508955858668448,1.0567778936675163,23.705571463176767,0.5295934162501299,0.11969963830140089,0.8908698754892462,0.9517227766371782
baseline,1.1514992376358375,1.0567778936675163,23.927057863176763,0.5295013126112,0.11969963830140089,0.8951039254892463,0.9517227766371782
cumulative_cap,1.1514992376358375,1.0567778936675163,23.927057863176763,0.5295013126112,0.11969963830140089,0.8951039254892463,0.9517227766371782
full_package,1.02788948518853,1.0453297480117956,23.382016256165116,0.5296792477837332,0.0016794848925892592,0.89019272040397,1.0484387009531464
integration_package,1.1428811005642023,1.0453297480117956,23.382016256165116,0.5296792477837332,0.11950463413764054,0.89019272040397,0.9518885552311478
macro_alignment_package,1.0356226213426871,1.0567778936675163,23.927057863176763,0.5295013126112,0.001855659187797063,0.8951039254892463,1.048254335124082
nep_growth,1.0980521720023122,1.0567778936675163,23.927057863176763,0.5295013126112,0.06689324385398454,0.8951039254892463,0.9988287533946536
nep_realism,1.1348036516929603,1.0567778936675163,23.927057863176763,0.5295013126112,0.10347210731152552,0.8951039254892463,0.9517227766371782
pooled_funding,1.143223343145945,1.0453297480117956,23.60350265616511,0.529628857184151,0.11950463413764054,0.8944267704039699,0.9518885552311478
ucc_integration,1.1514992376358375,1.0567778936675163,23.927057863176763,0.5295013126112,0.11969963830140089,0.8951039254892463,0.9517227766371782
wage_compact,1.0980644207010797,1.0567778936675163,23.927057863176763,0.5295013126112,0.0669053839578435,0.8951039254892463,0.9988173879212142
