year,game,eq_index,kind,row_action,col_action,row_payoff,col_payoff,n_equilibria_in_game
2025,DEF,1,pure,R,R,1.1975149190110828,1.4025149190110828,1
2025,BARG,1,pure,A,A,1.42,1.435,1
2025,SHIFT,1,pure,I,I,1.3204603580562662,1.3204603580562662,1
2025,DISC,1,pure,C,C,0.895,0.895,1
2025,GOV,1,pure,I,I,1.245,1.45,1
2025,COMP,1,pure,L,L,0.6459505541346975,0.8500000000000001,1
2026,DEF,1,pure,R,R,1.2100133824923063,1.4150133824923063,1
2026,BARG,1,pure,A,A,1.4226385122545808,1.437638512254581,1
2026,SHIFT,1,pure,I,I,1.30894450151529,1.30894450151529,1
2026,DISC,1,pure,C,C,0.8452506779417541,0.8452506779417541,1
2026,GOV,1,pure,I,I,1.2486939171564133,1.4536939171564132,1
2026,COMP,1,pure,L,L,0.6531927925243546,0.8500000000000001,1
2027,DEF,1,pure,R,R,1.222686192200904,1.427686192200904,1
2027,BARG,1,pure,A,A,1.4252623915626903,1.4402623915626904,1
2027,SHIFT,1,pure,I,I,1.297355451230418,1.297355451230418,1
2027,DISC,1,pure,C,C,0.8405276951871572,0.8405276951871572,1
2027,GOV,1,pure,I,I,1.2523673481877666,1.4573673481877665,1
2027,COMP,1,pure,L,L,0.6606080699880246,0.8500000000000001,1
2028,DEF,1,pure,R,R,1.2362377661363633,1.4412377661363633,1
2028,BARG,1,pure,A,A,1.428327990892721,1.443327990892721,1
2028,SHIFT,1,pure,I,I,1.2845211720306702,1.2845211720306702,1
2028,DISC,1,pure,C,C,0.8350096163931022,0.8350096163931022,1
2028,GOV,1,pure,I,I,1.2566591872498092,1.461659187249809,1
2028,COMP,1,pure,L,L,0.6681738581195085,0.8500000000000001,1
2029,DEF,1,pure,R,R,1.2491832451790768,1.4541832451790768,1
2029,BARG,1,pure,A,A,1.4308993726651476,1.4458993726651477,1
2029,SHIFT,1,pure,I,I,1.2728679910560183,1.2728679910560183,1
2029,DISC,1,pure,C,C,0.8303811292027342,0.8303811292027342,1
2029,GOV,1,pure,I,I,1.2602591217312067,1.4652591217312065,1
2029,COMP,1,pure,L,L,0.6759012178004855,0.8500000000000001,1
2030,DEF,1,pure,R,R,1.2634000372084184,1.4684000372084185,1
2030,BARG,1,pure,A,A,1.434156287924026,1.449156287924026,1
2030,SHIFT,1,pure,I,I,1.2593342895994202,1.2593342895994202,1
2030,DISC,1,pure,C,C,0.8245186817367529,0.8245186817367529,1
2030,GOV,1,pure,I,I,1.2648188030936367,1.4698188030936366,1
2030,COMP,1,pure,L,L,0.6837812294637298,0.8500000000000001,1
