year,pressure_mean,occupancy_mean,offload_mean,within4_mean,rr_mean,cth_nominal_mean,cth_effective_mean,effgap_mean,discharge_mean,nep_mean,cost_mean,effgap_micro_mean,effgap_macro_mean
2025,1.0,0.92,22.0,0.53,1.0849992371313921,0.41,0.384744,0.06564364876385342,1.05,1.0,1.0,0.0,0.06564364876385342
2026,1.0105540490183236,0.918561912,22.318103344,0.5300032686695284,1.077079116897463,0.42,0.39033830769230765,0.07598970360622093,0.9450000000000001,1.03,1.04,0.0,0.07598970360622093
2027,1.0210495662507615,0.9145021415100021,22.683482321620943,0.5300198771335443,1.0937567212809405,0.4275,0.39343522364776157,0.08658295712574945,0.8505,1.0609,1.0817460982870815,0.0,0.08658295712574945
2028,1.0333119635708834,0.9081030054907007,23.067532178823704,0.5299089665038794,1.1120025166659993,0.433125,0.3946860857440088,0.0973912258850122,0.7654500000000001,1.092727,1.1252814423270523,0.0,0.0973912258850122
2029,1.0435974906605903,0.9014882159669425,23.48373548473587,0.5299402110078363,1.1297210718593107,0.43734375,0.3945614791492997,0.10843031114355076,0.75,1.1255088100000001,1.1706991187065803,0.0,0.10843031114355076
2030,1.0566251516961043,0.8950813166115952,23.916606574168714,0.5295322449982257,1.1512312667164544,0.4405078125,0.3934206606693704,0.11968747066247094,0.75,1.1592740743,1.2180663372443996,0.0,0.11968747066247094
