scenario,year,pressure_mean,occupancy_mean,offload_mean,within4_mean,rr_mean,cth_nominal_mean,cth_effective_mean,effgap_mean,discharge_mean,nep_mean,cost_mean,effgap_micro_mean,effgap_macro_mean
baseline,2025,1.0,0.92,22.0,0.53,1.0849992371313921,0.41,0.384744,0.06564364876385342,1.05,1.0,1.0,0.0,0.06564364876385342
baseline,2026,1.0102885802081092,0.9185619119999999,22.318103344,0.5300241521667572,1.0769256662207087,0.42,0.3903383076923077,0.07598970360622093,0.945,1.03,1.04,0.0,0.07598970360622093
baseline,2027,1.020944957911615,0.9144967758777713,22.681003399530315,0.5300276691851638,1.0936955472315426,0.4275,0.39343526809096646,0.08658283540220549,0.8504999999999999,1.0609,1.0817459771053826,0.0,0.08658283540220549
baseline,2028,1.0343422731669067,0.9080955255239246,23.06401204658638,0.5298299743415286,1.112638347816862,0.433125,0.3946864698541426,0.0973901618938163,0.76545,1.092727,1.1252803512945022,0.0,0.0973901618938163
baseline,2029,1.0440558499459258,0.901501560527054,23.489746524319294,0.5299076174646319,1.1300014704429127,0.43734375,0.39455853556837467,0.1084385948180947,0.75,1.1255088100000001,1.17070786773698,0.0,0.1084385948180947
baseline,2030,1.0567778936675163,0.8951039254892463,23.927057863176763,0.5295013126112,1.1514992376358375,0.4405078125,0.39341639825861313,0.11969963830140089,0.75,1.1592740743,1.21807957396605,0.0,0.11969963830140089
pooled_funding,2025,1.0,0.92,22.0,0.53,1.0849992371313921,0.41,0.384744,0.06564364876385342,1.05,1.0,1.0,0.0,0.06564364876385342
pooled_funding,2026,1.0080901283026118,0.9185179296,22.2977834752,0.5300241521667572,1.0756240051279828,0.42,0.3903383076923077,0.07598970360622093,0.945,1.03,1.04,0.0,0.07598970360622093
pooled_funding,2027,1.016506510626824,0.9143640203380621,22.619142551384662,0.5300276691851638,1.0910122997825895,0.4275,0.3934409592502445,0.08656711591702937,0.8504999999999999,1.0609,1.0817303275945513,0.0,0.08656711591702937
pooled_funding,2028,1.0276045733290489,0.9078283520823256,22.938457061291114,0.5298299743415286,1.1084685809797776,0.433125,0.39470490576429884,0.09733889275943206,0.76545,1.092727,1.1252277791542062,0.0,0.09733889275943206
pooled_funding,2029,1.034997743650698,0.9010530087738639,23.277188677769715,0.5299189499377028,1.1241870701517889,0.43734375,0.39459764325109,0.10832869952646319,0.75,1.1255088100000001,1.170591798806196,0.0,0.10832869952646319
pooled_funding,2030,1.0453297480117956,0.8944267704039699,23.60350265616511,0.529628857184151,1.143223343145945,0.4405078125,0.3934848936846702,0.11950463413764054,0.75,1.1592740743,1.217867436192142,0.0,0.11950463413764054
ucc_integration,2025,1.0,0.92,22.0,0.53,1.0849992371313921,0.41,0.384744,0.06564364876385342,1.05,1.0,1.0,0.0,0.06564364876385342
ucc_integration,2026,1.0102885802081092,0.9185619119999999,22.318103344,0.5300241521667572,1.0769256662207087,0.42,0.3903383076923077,0.07598970360622093,0.945,1.03,1.04,0.0,0.07598970360622093
ucc_integration,2027,1.020944957911615,0.9144967758777713,22.681003399530315,0.5300276691851638,1.0936955472315426,0.4275,0.39343526809096646,0.08658283540220549,0.8504999999999999,1.0609,1.0817459771053826,0.0,0.08658283540220549
ucc_integration,2028,1.0343422731669067,0.9080955255239246,23.06401204658638,0.5298299743415286,1.112638347816862,0.433125,0.3946864698541426,0.0973901618938163,0.76545,1.092727,1.1252803512945022,0.0,0.0973901618938163
ucc_integration,2029,1.0440558499459258,0.901501560527054,23.489746524319294,0.5299076174646319,1.1300014704429127,0.43734375,0.39455853556837467,0.1084385948180947,0.75,1.1255088100000001,1.17070786773698,0.0,0.1084385948180947
