scenario,interventions,pressure_2030,within4_2030,offload_2030,rr_2030,effshare_nominal_2030,effshare_effective_2030,effgap_2030
baseline,(none),1.13416474092808,0.5036905777598154,17.70014717452179,1.0500075325534686,0.44375319379437855,0.38634063731492185,0.14881816519482954
pooled_funding,pooled_funding,1.132294445263837,0.5046294822354248,17.694937639200997,1.0493223586759135,0.44375319379437855,0.38634063731492185,0.14881816519482954
ucc_integration,ucc_integration,1.1118985309868752,0.5148765849384235,14.782203730560989,1.0401653498725871,0.44373622306693455,0.38621080113798606,0.14916719522313573
nep_realism,nep_realism,1.1262741288956861,0.5075911716940051,17.638588779598518,1.0470038764482887,0.43589340208969896,0.394258576660602,0.10571857712569954
discharge_capacity,aged_ndis_capacity,1.0866819404574422,0.5276937424266985,17.523494234138226,1.032300546556694,0.44359921444158457,0.38584402453081057,0.14989879366053166
bundle_all,"pooled_funding, ucc_integration, nep_realism, aged_ndis_capacity, middle_tier, cumulative_cap",1.0515385755750053,0.5465493459206923,14.513704260266678,1.0187477146164898,0.432928367650719,0.39609623301478347,0.09307200442931286
